ORIG,DEST,ROUTE,DIST,TIME,FREQ
LAX,EWR,LAX_EWR,3954,5.126696666666667,0.05793935803931732
EWR,LAX,EWR_LAX,3954,5.126696666666667,0.057902336085298586
BOS,SFO,BOS_SFO,4356,5.6070866666666666,0.056754655510717865
SFO,BOS,SFO_BOS,4356,5.6070866666666666,0.056754655510717865
SFO,EWR,SFO_EWR,4135,5.342991666666666,0.03513383436377772
EWR,SFO,EWR_SFO,4135,5.342991666666666,0.03509681240975899
EWR,MCO,EWR_MCO,1520,2.2180666666666666,0.032246121950316536
MCO,EWR,MCO_EWR,1520,2.2180666666666666,0.031468660915923145
EWR,DEN,EWR_DEN,2584,3.4895466666666666,0.02498981896264485
DEN,EWR,DEN_EWR,2584,3.4895466666666666,0.023990226204139056
BOS,LAX,BOS_LAX,4204,5.425446666666668,0.023731072526007924
LAX,BOS,LAX_BOS,4204,5.425446666666668,0.02369405057198919
ORD,EWR,ORD_EWR,1159,1.7866716666666667,0.020658250342453076
EDI,EWR,EDI_EWR,5257,6.6837816666666665,0.01921439413572248
EWR,EDI,EWR_EDI,5257,6.6837816666666665,0.01921439413572248
EWR,ORD,EWR_ORD,1159,1.7866716666666667,0.016956054940579765
DEN,LIH,DEN_LIH,5500,6.974166666666667,0.013587057124875051
